------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:04:01 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 36
flow.mgr.flows_notimeout                      | Total                     | 36
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:04:44 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 181
flow.wrk.flows_evicted_pkt_inject             | Total                     | 311
flow.wrk.flows_injected                       | Total                     | 181
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
detect.alert                                  | Total                     | 2
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 55
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 28
flow.mgr.flows_notimeout                      | Total                     | 28
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:04:58 (uptime: 0d, 00h 00m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 177
flow.wrk.flows_evicted_pkt_inject             | Total                     | 307
flow.wrk.flows_evicted                        | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 177
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 59
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 185
flow.mgr.flows_notimeout                      | Total                     | 185
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:05:12 (uptime: 0d, 00h 00m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 175
flow.wrk.flows_evicted_pkt_inject             | Total                     | 305
flow.wrk.flows_injected                       | Total                     | 175
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 61
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 51
flow.mgr.flows_notimeout                      | Total                     | 51
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:05:31 (uptime: 0d, 00h 00m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 176
flow.wrk.flows_evicted_pkt_inject             | Total                     | 306
flow.wrk.flows_injected                       | Total                     | 176
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 59
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1206
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 782
flow.mgr.flows_notimeout                      | Total                     | 782
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 8194304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:05:52 (uptime: 0d, 00h 00m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 176
flow.wrk.flows_evicted_pkt_inject             | Total                     | 306
flow.wrk.flows_injected                       | Total                     | 176
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 59
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1206
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 282
flow.mgr.flows_notimeout                      | Total                     | 282
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:06:05 (uptime: 0d, 00h 00m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 175
flow.wrk.flows_evicted_pkt_inject             | Total                     | 305
flow.wrk.flows_injected                       | Total                     | 175
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 61
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 23
flow.mgr.flows_notimeout                      | Total                     | 23
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:06:20 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 181
flow.wrk.flows_evicted_pkt_inject             | Total                     | 311
flow.wrk.flows_injected                       | Total                     | 181
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 54
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 83
flow.mgr.flows_notimeout                      | Total                     | 83
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:06:34 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 176
flow.wrk.flows_evicted_pkt_inject             | Total                     | 306
flow.wrk.flows_injected                       | Total                     | 176
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 60
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1207
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 176
flow.mgr.flows_notimeout                      | Total                     | 176
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 4/3/2024 -- 16:06:52 (uptime: 0d, 00h 00m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 116318
decoder.bytes                                 | Total                     | 46140136
decoder.ipv4                                  | Total                     | 116300
decoder.sll                                   | Total                     | 116318
decoder.tcp                                   | Total                     | 114428
decoder.udp                                   | Total                     | 1846
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1516
flow.tcp                                      | Total                     | 1703
flow.udp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.flows_evicted_needs_work             | Total                     | 179
flow.wrk.flows_evicted_pkt_inject             | Total                     | 309
flow.wrk.flows_injected                       | Total                     | 179
tcp.sessions                                  | Total                     | 1703
tcp.syn                                       | Total                     | 3406
tcp.synack                                    | Total                     | 3406
tcp.overlap                                   | Total                     | 9400
detect.alert                                  | Total                     | 113
app_layer.flow.http                           | Total                     | 226
app_layer.tx.http                             | Total                     | 298
app_layer.flow.ftp                            | Total                     | 36
app_layer.tx.ftp                              | Total                     | 364
app_layer.flow.smtp                           | Total                     | 53
app_layer.tx.smtp                             | Total                     | 105
app_layer.flow.ssh                            | Total                     | 38
app_layer.flow.imap                           | Total                     | 24
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 7
app_layer.flow.ftp-data                       | Total                     | 56
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 2
app_layer.flow.sip                            | Total                     | 1
app_layer.tx.sip                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 1206
app_layer.flow.dns_udp                        | Total                     | 316
app_layer.tx.dns_udp                          | Total                     | 1264
app_layer.flow.failed_udp                     | Total                     | 79
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 32
flow.mgr.flows_notimeout                      | Total                     | 32
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 786432
ftp.memuse                                    | Total                     | 28
flow.memuse                                   | Total                     | 7394304
